x,y,z
0,0,0,
0,0.1,0,
0,0.2,0,
0,0.3,0,
0,0.4,0,
0,0.5,0,
0,0.6,0,
0,0.7,0,
0,0.8,0,
0,0.9,0,
0,1,0,
0.1,0,0,
0.1,0.1,-0.0256262,
0.1,0.2,-0.0412524,
0.1,0.3,-0.0507943,
0.1,0.4,-0.0559989,
0.1,0.5,-0.0576566,
0.1,0.6,-0.0559989,
0.1,0.7,-0.0507943,
0.1,0.8,-0.0412524,
0.1,0.9,-0.0256262,
0.1,1,0,
0.2,0,0,
0.2,0.1,-0.0412524,
0.2,0.2,-0.0685891,
0.2,0.3,-0.0859258,
0.2,0.4,-0.0955446,
0.2,0.5,-0.0986287,
0.2,0.6,-0.0955446,
0.2,0.7,-0.0859258,
0.2,0.8,-0.0685891,
0.2,0.9,-0.0412524,
0.2,1,0,
0.3,0,0,
0.3,0.1,-0.0507943,
0.3,0.2,-0.0859258,
0.3,0.3,-0.108775,
0.3,0.4,-0.121625,
0.3,0.5,-0.125769,
0.3,0.6,-0.121625,
0.3,0.7,-0.108775,
0.3,0.8,-0.0859258,
0.3,0.9,-0.0507943,
0.3,1,0,
0.4,0,0,
0.4,0.1,-0.0559989,
0.4,0.2,-0.0955446,
0.4,0.3,-0.121625,
0.4,0.4,-0.136411,
0.4,0.5,-0.141197,
0.4,0.6,-0.136411,
0.4,0.7,-0.121625,
0.4,0.8,-0.0955446,
0.4,0.9,-0.0559989,
0.4,1,0,
0.5,0,0,
0.5,0.1,-0.0576566,
0.5,0.2,-0.0986287,
0.5,0.3,-0.125769,
0.5,0.4,-0.141197,
0.5,0.5,-0.146197,
0.5,0.6,-0.141197,
0.5,0.7,-0.125769,
0.5,0.8,-0.0986286,
0.5,0.9,-0.0576566,
0.5,1,0,
0.6,0,0,
0.6,0.1,-0.0559989,
0.6,0.2,-0.0955446,
0.6,0.3,-0.121625,
0.6,0.4,-0.136411,
0.6,0.5,-0.141197,
0.6,0.6,-0.136411,
0.6,0.7,-0.121625,
0.6,0.8,-0.0955445,
0.6,0.9,-0.0559988,
0.6,1,0,
0.7,0,0,
0.7,0.1,-0.0507943,
0.7,0.2,-0.0859258,
0.7,0.3,-0.108775,
0.7,0.4,-0.121625,
0.7,0.5,-0.125769,
0.7,0.6,-0.121625,
0.7,0.7,-0.108775,
0.7,0.8,-0.0859258,
0.7,0.9,-0.0507943,
0.7,1,0,
0.8,0,0,
0.8,0.1,-0.0412524,
0.8,0.2,-0.0685891,
0.8,0.3,-0.0859258,
0.8,0.4,-0.0955446,
0.8,0.5,-0.0986286,
0.8,0.6,-0.0955445,
0.8,0.7,-0.0859258,
0.8,0.8,-0.0685891,
0.8,0.9,-0.0412524,
0.8,1,0,
0.9,0,0,
0.9,0.1,-0.0256262,
0.9,0.2,-0.0412524,
0.9,0.3,-0.0507943,
0.9,0.4,-0.0559989,
0.9,0.5,-0.0576566,
0.9,0.6,-0.0559988,
0.9,0.7,-0.0507943,
0.9,0.8,-0.0412524,
0.9,0.9,-0.0256262,
0.9,1,0,
1,0,0,
1,0.1,0,
1,0.2,0,
1,0.3,0,
1,0.4,0,
1,0.5,0,
1,0.6,0,
1,0.7,0,
1,0.8,0,
1,0.9,0,
1,1,0,
