x,y,z
0,0,0,
0,0.1,0,
0,0.2,0,
0,0.3,0,
0,0.4,0,
0,0.5,0,
0,0.6,0,
0,0.7,0,
0,0.8,0,
0,0.9,0,
0,1,0,
0.2,0,0,
0.2,0.1,-0.0223819,
0.2,0.2,-0.0337077,
0.2,0.3,-0.0391514,
0.2,0.4,-0.0414904,
0.2,0.5,-0.0420303,
0.2,0.6,-0.0410734,
0.2,0.7,-0.038131,
0.2,0.8,-0.031956,
0.2,0.9,-0.0203966,
0.2,1,0,
0.4,0,0,
0.4,0.1,-0.01352,
0.4,0.2,-0.0188713,
0.4,0.3,-0.0204455,
0.4,0.4,-0.0208809,
0.4,0.5,-0.021412,
0.4,0.6,-0.0221539,
0.4,0.7,-0.0223055,
0.4,0.8,-0.0202832,
0.4,0.9,-0.013809,
0.4,1,0,
0.6,0,0,
0.6,0.1,0.0166768,
0.6,0.2,0.032556,
0.6,0.3,0.0444694,
0.6,0.4,0.0506885,
0.6,0.5,0.0506947,
0.6,0.6,0.0449681,
0.6,0.7,0.0348081,
0.6,0.8,0.0221845,
0.6,0.9,0.00960783,
0.6,1,0,
0.8,0,0,
0.8,0.1,0.0654467,
0.8,0.2,0.115905,
0.8,0.3,0.149868,
0.8,0.4,0.167026,
0.8,0.5,0.16803,
0.8,0.6,0.1543,
0.8,0.7,0.127871,
0.8,0.8,0.0912903,
0.8,0.9,0.0475461,
0.8,1,0,
1,0,0,
1,0.1,0.13083,
1,0.2,0.22705,
1,0.3,0.289903,
1,0.4,0.321356,
1,0.5,0.323807,
1,0.6,0.299898,
1,0.7,0.252428,
1,0.8,0.184385,
1,0.9,0.099031,
1,1,0,
1.2,0,0,
1.2,0.1,0.208061,
1.2,0.2,0.356451,
1.2,0.3,0.451306,
1.2,0.4,0.498392,
1.2,0.5,0.502683,
1.2,0.6,0.4682,
1.2,0.7,0.398107,
1.2,0.8,0.295007,
1.2,0.9,0.161369,
1.2,1,0,
1.4,0,0,
1.4,0.1,0.285068,
1.4,0.2,0.481222,
1.4,0.3,0.603259,
1.4,0.4,0.663094,
1.4,0.5,0.66929,
1.4,0.6,0.627162,
1.4,0.7,0.539235,
1.4,0.8,0.405931,
1.4,0.9,0.226471,
1.4,1,0,
1.6,0,0,
1.6,0.1,0.334667,
1.6,0.2,0.552202,
1.6,0.3,0.681831,
1.6,0.4,0.743983,
1.6,0.5,0.751199,
1.6,0.6,0.709469,
1.6,0.7,0.619349,
1.6,0.8,0.476781,
1.6,0.9,0.273846,
1.6,1,0,
1.8,0,0,
1.8,0.1,0.295541,
1.8,0.2,0.467387,
1.8,0.3,0.562393,
1.8,0.4,0.606173,
1.8,0.5,0.611748,
1.8,0.6,0.583961,
1.8,0.7,0.521303,
1.8,0.8,0.415875,
1.8,0.9,0.251585,
1.8,1,0,
2,0,0,
2,0.1,0,
2,0.2,0,
2,0.3,0,
2,0.4,0,
2,0.5,0,
2,0.6,0,
2,0.7,0,
2,0.8,0,
2,0.9,0,
2,1,0,
